鄉鎮市區,交易標的,土地位置建物門牌,土地移轉總面積平方公尺,都市土地使用分區,非都市土地使用分區,非都市土地使用編定,交易年月日,交易筆棟數,移轉層次,總樓層數,建物型態,主要用途,主要建材,建築完成年月,建物移轉總面積平方公尺,建物現況格局-房,建物現況格局-廳,建物現況格局-衛,建物現況格局-隔間,有無管理組織,總價元,單價元平方公尺,車位類別,車位移轉總面積(平方公尺),車位總價元,備註,編號,主建物面積,附屬建物面積,陽台面積,電梯,移轉編號
The villages and towns urban district,transaction sign,land sector position building sector house number plate,land shifting total area square meter,the use zoning or compiles and checks,the non-metropolis land use district,non-metropolis land use,transaction year month and day,transaction pen number,shifting level,total floor number,building state,main use,main building materials,construction to complete the years,building shifting total area,Building present situation pattern - room,building present situation pattern - hall,building present situation pattern - health,building present situation pattern - compartmented,Whether there is manages the organization,total price NTD,the unit price (NTD / square meter),the berth category,berth shifting total area square meter,the berth total price NTD,the note,serial number,,,,,
板橋區,房地(土地+建物)+車位,新北市板橋區中正路４６３號四樓,14.46,住,,,1100812,土地1建物1車位1,四層,二十三層,住宅大樓(11層含以上有電梯),住家用,鋼骨鋼筋混凝土造,1101110,121.62,2,2,1,有,有,13650000,130697,坡道平面,33.63,2150000,預售屋、或土地及建物分件登記案件；,RPPPMLNKKHHGFAF37DA,49.22,3.4,5.05,有,
板橋區,房地(土地+建物),新北市板橋區縣民大道三段２０５巷１６弄１３號五樓,22.8,住,,,1110117,土地1建物1車位0,五層,五層,公寓(5樓含以下無電梯),住家用,鋼筋混凝土造,0710218,92.4,3,2,1,有,無,11500000,124459,,0.0,0,陽台外推；頂樓加蓋；其他增建；,RPSQMLOKKHHGFAF87DA,78.48,0.0,13.92,無,
板橋區,車位,新北市板橋區中正路４５３號二樓等,0.44,住,,,1090227,土地1建物1車位1,,,其他,,,,33.64,0,0,0,有,有,1600000,,坡道平面,33.63,1600000,僅車位交易；預售屋、或土地及建物分件登記案件；,RPVNMLTKKHHGFAF38DA,0.0,0.0,0.0,有,0002
板橋區,房地(土地+建物),新北市板橋區中正路４５７號十三樓,12.06,住,,,1090227,土地1建物1車位0,十三層,二十三層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,1101110,75.94,2,2,1,有,有,10100000,133000,,0.0,0,預售屋、或土地及建物分件登記案件；,RPWNMLTKKHHGFAF48DA,43.29,1.36,5.05,有,
板橋區,房地(土地+建物),新北市板橋區中正路４５７號十五樓,12.06,住,,,1090223,土地1建物1車位0,十五層,二十三層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,1101110,75.94,2,2,1,有,有,9480000,124835,,0.0,0,110.06.30讓渡預售屋、或土地及建物分件登記案件；,RPXNMLTKKHHGFAF58DA,43.29,1.36,5.05,有,
板橋區,車位,新北市板橋區中正路４５３號二樓等,0.44,住,,,1090223,土地1建物1車位1,,,其他,,,,33.64,0,0,0,有,有,1600000,,坡道平面,33.63,1600000,110.6.30讓渡僅車位交易；預售屋、或土地及建物分件登記案件；,RPOOMLTKKHHGFAF77DA,0.0,0.0,0.0,有,0002
板橋區,房地(土地+建物),新北市板橋區中正路４５７號十九樓,12.06,住,,,1081211,土地1建物1車位0,十九層,二十三層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,1101110,75.94,2,2,1,有,有,9630000,126811,,0.0,0,預售屋、或土地及建物分件登記案件；,RPPOMLTKKHHGFAF87DA,43.29,1.36,5.05,有,
板橋區,車位,新北市板橋區中正路４５３號二樓等,0.44,住,,,1081211,土地1建物1車位1,,,其他,,,,33.64,0,0,0,有,有,1400000,,坡道平面,33.63,1400000,僅車位交易；預售屋、或土地及建物分件登記案件；,RPQOMLTKKHHGFAF97DA,0.0,0.0,0.0,有,0002
板橋區,房地(土地+建物),新北市板橋區中正路４６９號四樓,11.54,住,,,1090405,土地1建物1車位0,四層,二十三層,住宅大樓(11層含以上有電梯),住家用,鋼骨鋼筋混凝土造,1101110,72.4,2,2,1,有,有,8600000,118785,,0.0,0,預售屋、或土地及建物分件登記案件；,RPROMLTKKHHGFAF08DA,41.04,1.36,5.05,有,
板橋區,房地(土地+建物),新北市板橋區中正路４６１號三樓,13.41,住,,,1100511,土地1建物1車位0,三層,二十三層,住宅大樓(11層含以上有電梯),住家用,鋼骨鋼筋混凝土造,1101110,84.17999999999999,2,2,1,有,有,11030000,131029,,0.0,0,預售屋、或土地及建物分件登記案件；,RPPNMLTKKHHGFAF77DA,49.04,0.0,6.12,有,
板橋區,車位,新北市板橋區中正路４５３號二樓等,0.44,住,,,1100511,土地1建物1車位1,,,其他,,,,33.64,0,0,0,有,有,2050000,,坡道平面,33.63,2050000,僅車位交易；預售屋、或土地及建物分件登記案件；,RPQNMLTKKHHGFAF87DA,0.0,0.0,0.0,有,0002
板橋區,房地(土地+建物),新北市板橋區中正路４５７號九樓,12.06,住,,,1081211,土地1建物1車位0,九層,二十三層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,1101110,75.94,2,2,1,有,有,9330000,122860,,0.0,0,預售屋、或土地及建物分件登記案件；,RPRNMLTKKHHGFAF97DA,43.29,1.36,5.05,有,
板橋區,車位,新北市板橋區中正路４５３號二樓等,0.44,住,,,1081211,土地1建物1車位2,,,其他,,,,67.28,0,0,0,有,有,3000000,,坡道平面,67.26,3000000,B5車位由110.01.26簽約增買僅車位交易；預售屋、或土地及建物分件登記案件；,RPTNMLTKKHHGFAF18DA,0.0,0.0,0.0,有,0002
板橋區,房地(土地+建物),新北市板橋區中正路４６９號五樓,11.54,住,,,1081212,土地1建物1車位0,五層,二十三層,住宅大樓(11層含以上有電梯),住家用,鋼骨鋼筋混凝土造,1101110,72.4,2,2,1,有,有,8750000,120856,,0.0,0,預售屋、或土地及建物分件登記案件；,RPRPMLTKKHHGFAF18DA,41.04,1.36,5.05,有,
板橋區,車位,新北市板橋區中正路４５３號二樓等,0.44,住,,,1081212,土地1建物1車位1,,,其他,,,,33.64,0,0,0,有,有,1400000,,坡道平面,33.63,1400000,僅車位交易；預售屋、或土地及建物分件登記案件；,RPSPMLTKKHHGFAF28DA,0.0,0.0,0.0,有,0002
板橋區,房地(土地+建物),新北市板橋區中正路４６９號七樓,11.54,住,,,1090424,土地1建物1車位0,七層,二十三層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,1101110,72.4,2,2,1,有,有,9750000,134669,,0.0,0,含傢俱設備費1260000元；預售屋、或土地及建物分件登記案件；,RPTPMLTKKHHGFAF38DA,41.04,1.36,5.05,有,
板橋區,車位,新北市板橋區中正路４５３號二樓等,0.44,住,,,1090424,土地1建物1車位1,,,其他,,,,33.64,0,0,0,有,有,1600000,,坡道平面,33.63,1600000,僅車位交易；預售屋、或土地及建物分件登記案件；,RPUPMLTKKHHGFAF48DA,0.0,0.0,0.0,有,0002
板橋區,房地(土地+建物),新北市板橋區中正路４６９號九樓,11.54,住,,,1090514,土地1建物1車位0,九層,二十三層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,1101110,72.4,2,2,1,有,有,8690000,120028,,0.0,0,預售屋、或土地及建物分件登記案件；,RPXPMLTKKHHGFAF78DA,41.04,1.36,5.05,有,
板橋區,車位,新北市板橋區中正路４５３號二樓等,0.44,住,,,1090514,土地1建物1車位1,,,其他,,,,33.64,0,0,0,有,有,1600000,,坡道平面,33.63,1600000,僅車位交易；預售屋、或土地及建物分件登記案件；,RPOQMLTKKHHGFAF97DA,0.0,0.0,0.0,有,0002
板橋區,房地(土地+建物),新北市板橋區中正路４６９號十一樓,11.54,住,,,1081208,土地1建物1車位0,十一層,二十三層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,1101110,72.4,2,2,1,有,有,8850000,122238,,0.0,0,預售屋、或土地及建物分件登記案件；,RPPQMLTKKHHGFAF08DA,41.04,1.36,5.05,有,
板橋區,車位,新北市板橋區中正路４５３號二樓等,0.44,住,,,1081208,土地1建物1車位1,,,其他,,,,33.64,0,0,0,有,有,1550000,,坡道平面,33.63,1550000,僅車位交易；預售屋、或土地及建物分件登記案件；,RPQQMLTKKHHGFAF18DA,0.0,0.0,0.0,有,0002
板橋區,房地(土地+建物)+車位,新北市板橋區中正路４７５號十三樓,14.46,住,,,1100406,土地1建物1車位1,十三層,二十三層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,1101110,121.91,2,2,1,有,有,12880000,129474,坡道平面,33.63,1450000,預售屋、或土地及建物分件登記案件；,RPRQMLTKKHHGFAF28DA,49.06,3.35,5.37,有,
板橋區,房地(土地+建物),新北市板橋區中正路４６９號十三樓,11.54,住,,,1090605,土地1建物1車位0,十三層,二十三層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,1101110,72.4,2,2,1,有,有,8750000,120856,,0.0,0,預售屋、或土地及建物分件登記案件；,RPVQMLTKKHHGFAF68DA,41.04,1.36,5.05,有,
板橋區,車位,新北市板橋區中正路４５３號二樓等,0.44,住,,,1090605,土地1建物1車位1,,,其他,,,,33.64,0,0,0,有,有,1500000,,坡道平面,33.63,1500000,僅車位交易；預售屋、或土地及建物分件登記案件；,RPWQMLTKKHHGFAF78DA,0.0,0.0,0.0,有,0002
板橋區,房地(土地+建物),新北市板橋區中正路４６９號二十一樓,11.54,住,,,1081213,土地1建物1車位0,二十一層,二十三層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,1101110,72.4,2,2,1,有,有,9150000,126381,,0.0,0,預售屋、或土地及建物分件登記案件；,RPXQMLTKKHHGFAF88DA,41.04,1.36,5.05,有,
板橋區,車位,新北市板橋區中正路４５３號二樓等,0.44,住,,,1081213,土地1建物1車位1,,,其他,,,,33.64,0,0,0,有,有,1450000,,坡道平面,33.63,1450000,僅車位交易；預售屋、或土地及建物分件登記案件；,RPORMLTKKHHGFAF08DA,0.0,0.0,0.0,有,0002
板橋區,房地(土地+建物),新北市板橋區中正路４６９號二十三樓,11.54,住,,,1090815,土地1建物1車位0,二十三層,二十三層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,1101110,72.4,2,2,1,有,有,10500000,145028,,0.0,0,預售屋、或土地及建物分件登記案件；,RPPRMLTKKHHGFAF18DA,41.04,1.36,5.05,有,
板橋區,車位,新北市板橋區中正路４５３號二樓等,0.44,住,,,1090815,土地1建物1車位1,,,其他,,,,33.64,0,0,0,有,有,1750000,,坡道平面,33.63,1750000,僅車位交易；預售屋、或土地及建物分件登記案件；,RPQRMLTKKHHGFAF28DA,0.0,0.0,0.0,有,0002
板橋區,房地(土地+建物),新北市板橋區中正路４５７號四樓,12.06,住,,,1090208,土地1建物1車位0,四層,二十三層,住宅大樓(11層含以上有電梯),住家用,鋼骨鋼筋混凝土造,1101110,75.94,2,2,1,有,有,9180000,120885,,0.0,0,預售屋、或土地及建物分件登記案件；,RPTRMLTKKHHGFAF58DA,43.29,1.36,5.05,有,
板橋區,車位,新北市板橋區中正路４５３號二樓等,0.44,住,,,1090208,土地1建物1車位1,,,其他,,,,33.64,0,0,0,有,有,1600000,,坡道平面,33.63,1600000,僅車位交易；預售屋、或土地及建物分件登記案件；,RPURMLTKKHHGFAF68DA,0.0,0.0,0.0,有,0002
板橋區,房地(土地+建物),新北市板橋區中正路４５７號二十三樓,12.06,住,,,1081214,土地1建物1車位0,二十三層,二十三層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,1101110,75.94,2,2,1,有,有,9750000,128391,,0.0,0,預售屋、或土地及建物分件登記案件；,RPVRMLLLKHHGFAF08DA,43.29,1.36,5.05,有,
板橋區,車位,新北市板橋區中正路４５３號二樓等,0.44,住,,,1081214,土地1建物1車位1,,,其他,,,,33.64,0,0,0,有,有,1400000,,坡道平面,33.63,1400000,僅車位交易；預售屋、或土地及建物分件登記案件；,RPWRMLLLKHHGFAF18DA,0.0,0.0,0.0,有,0002
板橋區,房地(土地+建物),新北市板橋區中正路４５７號二十一樓,12.06,住,,,1081213,土地1建物1車位0,二十一層,二十三層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,1101110,75.94,2,2,1,有,有,9600000,126416,,0.0,0,預售屋、或土地及建物分件登記案件；,RPXRMLLLKHHGFAF28DA,43.29,1.36,5.05,有,
板橋區,車位,新北市板橋區中正路４５３號二樓等,0.44,住,,,1081213,土地1建物1車位1,,,其他,,,,33.64,0,0,0,有,有,1400000,,坡道平面,33.63,1400000,僅車位交易；預售屋、或土地及建物分件登記案件；,RPOSMLLLKHHGFAF47DA,0.0,0.0,0.0,有,0002
板橋區,房地(土地+建物),新北市板橋區民生路三段３１９號十八樓之９,1.67,都市：其他:住宅區,,,1110210,土地2建物1車位0,十八層,三十七層,住宅大樓(11層含以上有電梯),住家用,鋼骨鋼筋混凝土造,0950914,50.2,1,1,1,有,有,8500000,169323,,0.0,0,夾層；其他增建；,RPORMLLLKHHGFAF37DA,33.82,0.0,2.81,有,
土城區,房地(土地+建物)+車位,新北市土城區裕華街１５號四樓,32.56,工,,,1110207,土地1建物1車位1,四層,十九層,住宅大樓(11層含以上有電梯),商業用,鋼筋混凝土造,1080625,167.54000000000002,0,0,0,無,有,18000000,121625,坡道平面,33.11,1650000,,RPWQMLMLKHHGFAF18DA,78.41,3.99,8.39,有,
板橋區,車位,新北市板橋區中正路４５３號二樓等,0.44,住,,,1090606,土地1建物1車位1,,,其他,,,,33.64,0,0,0,有,有,1600000,,坡道平面,33.63,1600000,110.10.8讓渡僅車位交易；預售屋、或土地及建物分件登記案件；,RPWRMLMLKHHGFAF28DA,0.0,0.0,0.0,有,0002
板橋區,房地(土地+建物),新北市板橋區中正路４６９號十五樓,11.54,住,,,1090606,土地1建物1車位0,十五層,二十三層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,1101110,72.4,2,2,1,有,有,8920000,123204,,0.0,0,110.10.8讓渡預售屋、或土地及建物分件登記案件；,RPXRMLMLKHHGFAF38DA,41.04,1.36,5.05,有,
板橋區,房地(土地+建物),新北市板橋區中正路４６９號十九樓,11.54,住,,,1100513,土地1建物1車位0,十九層,二十三層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,1101110,72.4,2,2,1,有,有,9000000,124309,,0.0,0,預售屋、或土地及建物分件登記案件；,RPOSMLMLKHHGFAF57DA,41.04,1.36,5.05,有,
板橋區,車位,新北市板橋區中正路４５３號二樓等,0.44,住,,,1100513,土地1建物1車位1,,,其他,,,,33.64,0,0,0,有,有,1600000,,坡道平面,33.63,1600000,僅車位交易；預售屋、或土地及建物分件登記案件；,RPQRMLMLKHHGFAF67DA,0.0,0.0,0.0,有,0002
板橋區,房地(土地+建物),新北市板橋區華江一路１８８號八樓,4.41,商,,,1110220,土地1建物1車位0,八層,十九層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,1071227,59.379999999999995,1,1,1,有,有,10200000,171775,,0.0,0,,RPVOMLNJLHHGFAF87DA,33.49,0.53,6.06,有,0019
