鄉鎮市區,交易標的,土地位置建物門牌,土地移轉總面積平方公尺,都市土地使用分區,非都市土地使用分區,非都市土地使用編定,交易年月日,交易筆棟數,移轉層次,總樓層數,建物型態,主要用途,主要建材,建築完成年月,建物移轉總面積平方公尺,建物現況格局-房,建物現況格局-廳,建物現況格局-衛,建物現況格局-隔間,有無管理組織,總價元,單價元平方公尺,車位類別,車位移轉總面積(平方公尺),車位總價元,備註,編號,主建物面積,附屬建物面積,陽台面積,電梯,移轉編號
The villages and towns urban district,transaction sign,land sector position building sector house number plate,land shifting total area square meter,the use zoning or compiles and checks,the non-metropolis land use district,non-metropolis land use,transaction year month and day,transaction pen number,shifting level,total floor number,building state,main use,main building materials,construction to complete the years,building shifting total area,Building present situation pattern - room,building present situation pattern - hall,building present situation pattern - health,building present situation pattern - compartmented,Whether there is manages the organization,total price NTD,the unit price (NTD / square meter),the berth category,berth shifting total area square meter,the berth total price NTD,the note,serial number,,,,,
三民區,房地(土地+建物)+車位,高雄市三民區北安街９０號二樓,15.05,住,,,1110304,土地1建物1車位1,二層,十五層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,1101020,123.49,2,2,1,有,有,8000000,64783,坡道平面,28.98,0,,RPOQMLPKLHHGFDE87DA,52.55,3.84,3.62,有,0033
三民區,房地(土地+建物)+車位,高雄市三民區重慶街３６０號二樓之１,8.6,商,,,1091110,土地1建物1車位1,二層,十五層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土,1100930,94.13,2,1,1,有,有,7170000,76098,塔式車位,13.05,1000000,含裝潢費400000元；預售屋、或土地及建物分件登記案件；,RPUOMLQKLHHGFDE38DA,47.21,0.0,4.63,有,
三民區,房地(土地+建物),高雄市三民區澄清路６５７號,22.02,住,,,1101227,土地1建物1車位0,一層，二層，三層，騎樓,十二層,住宅大樓(11層含以上有電梯),,鋼筋混凝土造,0780612,171.93,3,2,3,有,無,16000000,93061,,0.0,0,親友、員工、共有人或其他特殊關係間之交易；,RPSPMLQKLHHGFDE28DA,143.19,5.89,11.78,無,
三民區,土地,三塊厝段二小段1391-6地號,155.0,商,,,1100827,土地2建物0車位0,,,其他,,,,0.0,0,0,0,有,無,54858375,353925,,0.0,0,1.1391-20地號:13007500元；1391-6地號:41850875元。2.1391-6地號上有未保存登記建物未登記建物；,RPUPMLQKLHHGFDE48DA,0.0,0.0,0.0,無,0034
三民區,土地,三塊厝段二小段1391-5地號,122.0,商,,,1100827,土地1建物0車位0,,,其他,,,,0.0,0,0,0,有,無,43547900,356950,,0.0,0,未登記建物；,RPVPMLQKLHHGFDE58DA,0.0,0.0,0.0,無,
三民區,房地(土地+建物),高雄市三民區建國三路４２３號，自強一路２５４號,216.0,商,,,1100827,土地1建物1車位0,全,四層,透天厝,住商用,加強磚造,0561012,811.82,18,8,8,有,無,77101200,94973,,0.0,0,未登記建物；未登記建物；,RPWPMLQKLHHGFDE68DA,811.82,0.0,0.0,無,
三民區,房地(土地+建物),高雄市三民區民和街４６號二樓,26.82,住,,,1110219,土地2建物1車位0,二層,五層,公寓(5樓含以下無電梯),,鋼筋混凝土造,0760805,107.04,3,2,2,有,無,5350000,49981,,0.0,0,陽台外推；,RPQNMLRKLHHGFDE97DA,93.46,0.0,13.58,無,
三民區,房地(土地+建物),高雄市三民區正忠路３６７號,87.0,住,,,1110217,土地1建物1車位0,全,五層,透天厝,住商用,鋼筋混凝土造,0951031,246.29,4,2,5,有,無,24000000,97446,,0.0,0,其他增建；,RPXNMLRKLHHGFDE68DA,214.12,0.0,32.17,無,
楠梓區,房地(土地+建物),高雄市楠梓區瑞屏路２４號,75.0,商,,,1101205,土地1建物1車位0,全,三層,透天厝,,鋼筋混凝土造,0690724,194.93,3,2,4,有,無,13000000,66691,,0.0,0,增建至4樓其他增建；,RPSRMLOKKIGGFEE28DA,194.93,0.0,0.0,無,
左營區,房地(土地+建物)+車位,高雄市左營區文自路５２６號二十三樓之１,10.62,住,,,1110211,土地1建物1車位1,二十三層,二十三層,住宅大樓(11層含以上有電梯),住家用,見使用執照,0881020,149.57,4,2,2,有,有,9000000,58773,坡道機械,10.05,800000,陽台外推；,RPVRMLPLKHHGFEE78DA,92.8,3.07,12.65,有,
