鄉鎮市區,交易標的,土地位置建物門牌,土地移轉總面積平方公尺,都市土地使用分區,非都市土地使用分區,非都市土地使用編定,交易年月日,交易筆棟數,移轉層次,總樓層數,建物型態,主要用途,主要建材,建築完成年月,建物移轉總面積平方公尺,建物現況格局-房,建物現況格局-廳,建物現況格局-衛,建物現況格局-隔間,有無管理組織,總價元,單價元平方公尺,車位類別,車位移轉總面積(平方公尺),車位總價元,備註,編號,主建物面積,附屬建物面積,陽台面積,電梯,移轉編號
The villages and towns urban district,transaction sign,land sector position building sector house number plate,land shifting total area square meter,the use zoning or compiles and checks,the non-metropolis land use district,non-metropolis land use,transaction year month and day,transaction pen number,shifting level,total floor number,building state,main use,main building materials,construction to complete the years,building shifting total area,Building present situation pattern - room,building present situation pattern - hall,building present situation pattern - health,building present situation pattern - compartmented,Whether there is manages the organization,total price NTD,the unit price (NTD / square meter),the berth category,berth shifting total area square meter,the berth total price NTD,the note,serial number,,,,,
中壢區,房地(土地+建物)+車位,桃園市中壢區龍慈路８３號四樓,27.31,住,,,1080227,土地1建物1車位1,四層,十五層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,1110112,159.5,3,2,2,有,有,10858000,71108,坡道平面,24.86,1284000,預售屋、或土地及建物分件登記案件；,RPTQMLOKLHHGFBH38DA,77.54,0.0,12.24,有,
中壢區,房地(土地+建物),桃園市中壢區龍慈路８５號十三樓,16.1,住,,,1080413,土地1建物1車位0,十三層,十五層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,1110112,94.12,2,2,1,有,有,6811000,72365,,0.0,0,預售屋、或土地及建物分件登記案件；,RPUQMLOKLHHGFBH48DA,55.53,0.0,7.23,有,
中壢區,房地(土地+建物)+車位,桃園市中壢區龍慈路８３號十四樓,27.64,住,,,1080408,土地1建物1車位1,十四層,十五層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,1110112,161.62,3,2,2,有,有,11122000,72348,坡道平面,26.98,1381000,預售屋、或土地及建物分件登記案件；,RPWQMLOKLHHGFBH68DA,77.54,0.0,12.24,有,
中壢區,房地(土地+建物)+車位,桃園市中壢區龍慈路７７號八樓,20.69,住,,,1071215,土地1建物1車位1,八層,十五層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,1110112,121.0,2,2,1,有,有,8148000,71974,坡道平面,26.98,1381000,預售屋、或土地及建物分件登記案件；,RPORMLOKLHHGFBH97DA,55.46,0.0,7.23,有,
中壢區,房地(土地+建物)+車位,桃園市中壢區龍慈路７９號十一樓,20.36,住,,,1080114,土地1建物1車位1,十一層,十五層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,1110112,118.88,2,2,1,有,有,8051000,71974,坡道平面,24.86,1284000,預售屋、或土地及建物分件登記案件；,RPXRMLPKLHHGFBH98DA,55.46,0.0,7.23,有,
中壢區,房地(土地+建物)+車位,桃園市中壢區龍慈路６７號三樓,26.38,住,,,1080513,土地1建物1車位1,三層,十五層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,1110112,154.22,3,2,2,有,有,10568000,71369,坡道平面,26.98,1487000,預售屋、或土地及建物分件登記案件；,RPOSMLPKLHHGFBH18DA,76.89,0.0,7.95,有,
中壢區,房地(土地+建物)+車位,桃園市中壢區龍慈路７３號三樓,26.38,住,,,1080513,土地1建物1車位1,三層,十五層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,1110112,154.22,3,2,2,有,有,10568000,71369,坡道平面,26.98,1487000,預售屋、或土地及建物分件登記案件；,RPPSMLPKLHHGFBH28DA,76.89,0.0,7.95,有,
中壢區,房地(土地+建物)+車位,桃園市中壢區龍慈路７７號五樓,20.69,住,,,1071126,土地1建物1車位1,五層,十五層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,1110112,121.0,2,2,1,有,有,8227000,71687,坡道平面,26.98,1487000,預售屋、或土地及建物分件登記案件；,RPQSMLPKLHHGFBH38DA,55.46,0.0,7.23,有,
中壢區,房地(土地+建物)+車位,桃園市中壢區龍慈路６５號九樓,20.72,住,,,1071226,土地1建物1車位1,九層,十五層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,1110112,121.15,2,2,1,有,有,8165000,72040,坡道平面,26.98,1381000,預售屋、或土地及建物分件登記案件；,RPRSMLPKLHHGFBH48DA,55.56,0.0,7.23,有,
中壢區,房地(土地+建物)+車位,桃園市中壢區龍慈路５１號十一樓,20.79,住,,,1100418,土地1建物1車位1,十一層,十五層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,1110112,121.53,2,2,1,有,有,8298000,72036,坡道平面,26.98,1487000,預售屋、或土地及建物分件登記案件；,RPSSMLPKLHHGFBH58DA,55.82,0.0,7.23,有,
